store_name,full_address,city,province,latitude,longitude,store_type,operating_hours,osm_id,osm_type
Alfamart,,Palangka Raya,Kalimantan Tengah,-2.2815959,114.0133804,convenience,,4227722120,node
Alfamart,,Sukabumi,Jawa Barat,-6.9533786,106.7681194,convenience,,4230873199,node
Alfamart,,Luwu Utara,Sulawesi Selatan,-2.5539637,120.3339698,convenience,,4234962255,node
Alfamart,"Jl. Anggrek Rosliana, RT.2/RW.1",Kemanggisan,DKI Jakarta,-6.1942741,106.7918549,convenience,,4235068189,node
Alfamart,"Jl. Andong I, RT.9/RW.8","Kota Bambu, Palmerah West Jakarta",DKI Jakarta,-6.1873546,106.8001811,convenience,,4235070611,node
Alfamart,"Taman Fatahilah Kota Tua, Jl. Pintu Besar Utara, No. 31/3","Kali Besar, Kota, West Jakarta",DKI Jakarta,-6.1346522,106.812262,convenience,,4235072589,node
Alfamart,,Palangka Raya,Kalimantan Tengah,-2.2086915,113.9283109,convenience,,4236877388,node
Alfamart,,Banjar,Kalimantan Selatan,-3.3964983,114.661886,convenience,,4236896398,node
Alfamart,,Palangka Raya,Kalimantan Tengah,-2.2531953,113.9195998,convenience,,4236930539,node
Alfamart,Jalan Blora,Central Jakarta,DKI Jakarta,-6.2003634,106.8235293,convenience,,4247790076,node
Alfamart,,Bandung Barat,Jawa Barat,-6.8028506,107.5831703,convenience,,4253060280,node
Alfamart,,Sleman,Yogyakarta,-7.7282307,110.3984754,convenience,,4267436089,node
Alfamart,,Medan,Sumatera Utara,3.6188583,98.6809108,convenience,,4271234687,node
Alfamart,,Medan,Sumatera Utara,3.5895159,98.668454,convenience,,4271458240,node
Alfamart,,Deli Serdang,Sumatera Utara,3.6298693,98.6956634,convenience,,4274008411,node
Alfamart,,Medan,Sumatera Utara,3.56758,98.6560472,convenience,,4278095658,node
Alfamart,Jalan Gajah Mada,Amlapura,Bali,-8.4461507,115.6159919,convenience,Mo-Su 07:00-23:00,4281545117,node
Alfamart,,Cilacap,Jawa Tengah,-7.6320389,109.233039,convenience,,4291946819,node
Alfamart,,Makassar,Sulawesi Selatan,-5.0864874,119.5201367,convenience,,4311534889,node
Alfamart,,Kota Tangerang,Banten,-6.2425797,106.5243154,convenience,Mo-Su 08:00-22:00,4318561694,node
Alfamart,Pajajaran,Bandar Lampung,Lampung,-5.3981328,105.2645598,convenience,,4319004616,node
Alfamart,Pangeran Antasari,Bandar lampung,Lampung,-5.4073228,105.2739725,convenience,,4324807496,node
Alfamart,,Medan,Sumatera Utara,3.5972152,98.7222839,convenience,,4329084898,node
Alfamart,"Jl. Sido Mukti , Sukaluyu, 990",Bandung,Jawa Barat,-6.8926293,107.6350318,convenience,Mo-Su 07:00-22:00,4329546428,node
